,Date,Open,High,Low,Close,Volume
420,2019-05-23,1836.59,1844.0,1804.2,1815.48,4424265
421,2019-05-22,1851.78,1871.49,1851.0,1859.68,2936601
422,2019-05-21,1874.79,1879.0,1846.0,1857.52,4005122
423,2019-05-20,1852.69,1867.78,1835.54,1858.97,3798198
424,2019-05-17,1893.05,1910.53,1867.33,1869.0,4736618
425,2019-05-16,1885.94,1917.51,1882.29,1907.57,4707822
426,2019-05-15,1827.95,1874.43,1823.0,1871.15,4692642
427,2019-05-14,1839.5,1852.44,1815.75,1840.12,4629107
428,2019-05-13,1836.56,1846.54,1818.0,1822.68,5783410
429,2019-05-10,1898.0,1903.79,1856.0,1889.98,5717994
430,2019-05-09,1900.0,1909.4,1876.0,1899.87,5308263
431,2019-05-08,1918.87,1935.37,1910.0,1917.77,4078568
432,2019-05-07,1939.99,1949.1,1903.38,1921.0,5902134
433,2019-05-06,1917.98,1959.0,1910.5,1950.55,5417841
434,2019-05-03,1949.0,1964.4,1936.0,1962.46,6381564
435,2019-05-02,1913.33,1921.55,1881.87,1900.82,3962915
436,2019-05-01,1933.09,1943.64,1910.55,1911.52,3116964
437,2019-04-30,1930.1,1935.71,1906.95,1926.52,3506007
438,2019-04-29,1949.0,1956.34,1934.09,1938.43,4021255
439,2019-04-26,1929.0,1951.0,1898.0,1950.63,8432563
440,2019-04-25,1917.0,1922.45,1900.31,1902.25,6099201
441,2019-04-24,1925.0,1929.69,1898.16,1901.75,3675781
442,2019-04-23,1891.2,1929.26,1889.58,1923.77,4640441
443,2019-04-22,1855.4,1888.42,1845.64,1887.31,3373807
444,2019-04-18,1868.79,1870.82,1859.48,1861.69,2749882
445,2019-04-17,1872.99,1876.47,1860.44,1864.82,2893517
446,2019-04-16,1851.35,1869.77,1848.0,1863.04,3044618
447,2019-04-15,1842.0,1846.85,1818.9,1844.87,3724423
448,2019-04-12,1848.4,1851.5,1841.3,1843.06,3114413
449,2019-04-11,1848.7,1849.95,1840.31,1844.07,2654842
450,2019-04-10,1841.0,1848.0,1828.81,1847.33,2963973
451,2019-04-09,1845.49,1853.09,1831.78,1835.84,3714368
452,2019-04-08,1833.23,1850.2,1825.11,1849.86,3752841
453,2019-04-05,1829.0,1838.58,1825.19,1837.28,3640476
454,2019-04-04,1820.65,1828.75,1804.2,1818.86,3623867
455,2019-04-03,1826.72,1830.0,1809.62,1820.7,3980590
456,2019-04-02,1811.02,1820.0,1805.12,1813.98,3448115
457,2019-04-01,1800.11,1815.67,1798.73,1814.19,4238752
458,2019-03-29,1786.58,1792.86,1776.63,1780.75,3320793
459,2019-03-28,1770.0,1777.93,1753.47,1773.42,3042958
460,2019-03-27,1784.13,1787.5,1745.68,1765.7,4324801
461,2019-03-26,1793.0,1805.77,1773.36,1783.76,4865880
462,2019-03-25,1757.79,1782.68,1747.5,1774.26,5103803
463,2019-03-22,1810.17,1818.98,1763.11,1764.77,6362983
464,2019-03-21,1796.26,1823.75,1787.28,1819.26,5767797
465,2019-03-20,1769.94,1799.5,1767.03,1797.27,6265633
466,2019-03-19,1753.51,1784.16,1753.51,1761.85,6364161
467,2019-03-18,1712.7,1750.0,1712.63,1742.15,5429058
468,2019-03-15,1703.0,1718.8,1693.13,1712.36,7550870
469,2019-03-14,1691.2,1702.0,1684.34,1686.22,2946618
470,2019-03-13,1683.0,1700.0,1679.35,1690.81,3552041
471,2019-03-12,1669.0,1684.27,1660.98,1673.1,3614498
472,2019-03-11,1626.12,1672.29,1626.01,1670.62,3876352
473,2019-03-08,1604.01,1622.72,1586.57,1620.8,4667014
474,2019-03-07,1667.37,1669.75,1620.51,1625.95,4957017
475,2019-03-06,1695.97,1697.75,1668.28,1668.95,3996001
476,2019-03-05,1702.95,1707.8,1689.01,1692.43,3681522
477,2019-03-04,1685.0,1709.43,1674.36,1696.17,6167358
478,2019-03-01,1655.13,1674.26,1651.0,1671.73,4974877
479,2019-02-28,1635.25,1651.77,1633.83,1639.83,3025891
480,2019-02-27,1628.18,1641.81,1615.1,1641.09,3148824
481,2019-02-26,1625.98,1639.99,1616.13,1636.4,2665815
482,2019-02-25,1641.45,1654.6,1630.39,1633.0,3184462
483,2019-02-22,1623.5,1634.94,1621.17,1631.56,3096191
484,2019-02-21,1619.85,1623.56,1600.91,1619.44,3483392
485,2019-02-20,1630.0,1634.93,1610.12,1622.1,3337589
486,2019-02-19,1601.0,1634.0,1600.56,1627.58,3681656
487,2019-02-15,1627.86,1628.91,1604.5,1607.95,4343893
488,2019-02-14,1624.5,1637.9,1606.06,1622.65,4120524
489,2019-02-13,1647.0,1656.38,1637.11,1640.0,3560321
490,2019-02-12,1604.0,1639.4,1598.88,1638.01,4858604
491,2019-02-11,1600.98,1609.29,1586.0,1591.0,3317328
492,2019-02-08,1586.0,1588.59,1566.76,1588.22,5657457
493,2019-02-07,1625.0,1625.54,1592.91,1614.37,4626589
494,2019-02-06,1670.75,1672.26,1633.34,1640.26,3939883
495,2019-02-05,1643.34,1665.26,1642.5,1658.81,4453105
496,2019-02-04,1623.0,1649.63,1613.5,1633.31,4929187
497,2019-02-01,1638.88,1673.06,1622.01,1626.23,11506213
498,2019-01-31,1692.85,1736.41,1679.08,1718.73,10910338
499,2019-01-30,1623.0,1676.95,1619.68,1670.43,5783822
500,2019-01-29,1631.27,1632.38,1590.72,1593.88,4632782
501,2019-01-28,1643.59,1645.0,1614.09,1637.89,4837711
502,2019-01-25,1670.5,1683.48,1661.61,1670.57,4959679
503,2019-01-24,1641.07,1657.26,1631.78,1654.93,4089943
504,2019-01-23,1656.0,1657.43,1612.0,1640.02,5225212
505,2019-01-22,1681.0,1681.87,1610.2,1632.17,6416796
506,2019-01-18,1712.0,1716.2,1691.54,1696.2,6020503
507,2019-01-17,1680.0,1700.17,1677.5,1693.22,4208875
508,2019-01-16,1684.22,1705.0,1675.88,1683.78,6366864
509,2019-01-15,1632.0,1675.16,1626.01,1674.56,5998510
510,2019-01-14,1615.0,1648.2,1595.15,1617.21,6005888
511,2019-01-11,1640.55,1660.29,1636.22,1640.56,4686222
512,2019-01-10,1641.01,1663.25,1621.62,1656.22,6507693
513,2019-01-09,1652.98,1667.8,1641.4,1659.42,6348801
514,2019-01-08,1664.69,1676.61,1616.61,1656.58,8881428
515,2019-01-07,1602.31,1634.56,1589.19,1629.51,7993213
516,2019-01-04,1530.0,1594.0,1518.31,1575.39,9182575
517,2019-01-03,1520.01,1538.0,1497.11,1500.28,6975572
518,2019-01-02,1465.2,1553.36,1460.93,1539.13,7983103
